Town,County,Latitude,Longitude,Elevation,Population
Derrynacreve,Cavan,54.155,-7.7175,249,2364
Derrynananta,Cavan,54.1625,-7.8711111,935,2125
Derryvony,Cavan,54.1502778,-7.4202778,360,2614
Doogary,Cavan,54.0377778,-7.6291667,249,1764
Dowra,Cavan,54.1911111,-8.015,223,1788
Droichead an Bhuitlearaigh,Cavan,54.0427778,-7.3763889,249,2416
Droichead an Bhuitléaraigh,Cavan,54.0427778,-7.3763889,249,2416
Drumaloor,Cavan,54.0705556,-7.4061111,311,2416
Drumalure,Cavan,54.0705556,-7.4061111,311,2416
Drumane,Cavan,54.1072222,-7.6180556,249,2454
Drumasladdy,Cavan,54.0891667,-7.4977778,255,2491
Drumbar,Cavan,54.1788889,-7.6661111,656,2626
Drumbrollisk,Cavan,54.0675,-7.1908333,249,2659
Drumcask,Cavan,54.1725,-7.7347222,275,2528
Drumcondra,Cavan,54.0208333,-7.0138889,410,2501
Drumconnick,Cavan,53.9880556,-7.3866667,282,2425
Drumcor,Cavan,54.0986111,-7.2905556,246,2872
Drumcrow South,Cavan,53.9561111,-7.5783333,269,2345
Drumgoon,Cavan,54.0369444,-7.0575,360,2432
Drumgor,Cavan,53.9816667,-7.4380556,308,2425
Drumhillagh,Cavan,54.0333333,-7.2266667,262,2420
Drumlane,Cavan,54.0191667,-7.2294444,305,2420
Drumliff,Cavan,54.0641667,-7.3305556,236,2498
Drummany,Cavan,54.0275,-7.5888889,249,2049
Drummullagh,Cavan,54.0530556,-7.5072222,298,2414
Drumnatread,Cavan,54.069444,-7.1258333,246,2680
Drumroe,Cavan,53.9469444,-7.5175,383,2429
Drung,Cavan,54.035,-7.2386111,272,2420
Drutamon,Cavan,53.9913889,-7.0794444,521,2425
Dun An Ri,Cavan,53.9080556,-6.8055556,298,3439
Dún An Ri,Cavan,53.9080556,-6.8055556,298,3439
Duneena,Cavan,53.9430556,-7.0141667,485,2426
Dunglave,Cavan,54.1611111,-7.7066667,259,2437
Eighter,Cavan,53.8177778,-7.1347222,462,2931
Erraran,Cavan,54.125,-7.6977778,436,2230
Eylagh,Cavan,54.0447222,-7.6025,249,2287
Fartrin,Cavan,54.0875,-7.5897222,246,2454
Fartrin Cross Roads,Cavan,54.0797222,-7.595,246,2287
Gannons Cross,Cavan,54.0994444,-7.365,423,2577
Gartbrattan,Cavan,54.011111,-7.4388889,305,2420
Glangavlen,Cavan,54.1947222,-7.89,505,2271
Glangevlin,Cavan,54.1947222,-7.89,505,2271
Glasleck,Cavan,53.9741667,-6.9266667,488,2548
Glasstown,Cavan,54.0422222,-7.5133333,314,2414
Glen,Cavan,54.1097222,-7.5013889,246,2502
Glengavlen,Cavan,54.1947222,-7.89,505,2271
Glengevlin,Cavan,54.1947222,-7.89,505,2271
Gortahill,Cavan,54.2847222,-7.9644444,249,2006
Gowlan,Cavan,54.2508333,-7.9002778,767,2542
Gowlan,Cavan,54.1372222,-7.795,439,2235
Greaghagibney,Cavan,53.9427778,-7.1302778,547,2426
Greaghrahan,Cavan,54.0927778,-7.5375,265,2502
Greenville,Cavan,54.0697222,-7.5844444,252,2287
Gubaveeny,Cavan,54.2444444,-7.9705556,406,2168
Gubrawnlly,Cavan,54.1611111,-7.7433333,288,2364
Kilconny,Cavan,54.1019444,-7.4488889,246,2475
Kilcrossduff,Cavan,53.965,-6.9038889,498,2774
Kildorough,Cavan,53.8419444,-7.2125,341,2434
Kildorragh,Cavan,53.8419444,-7.2125,341,2434
Kill,Cavan,54.0330556,-7.1102778,498,2422
Killashandra,Cavan,54.0166667,-7.5333333,387,2420
Killeshandra,Cavan,54.0166667,-7.5333333,387,2420
Killycluggin,Cavan,54.0933333,-7.6361111,239,2368
Killyconnan,Cavan,53.9647222,-7.2688889,495,2425
Killycreeny,Cavan,54.0638889,-7.1486111,246,2680
Killykeen,Cavan,53.9972222,-7.4569444,393,2425
Killylea,Cavan,54.1216667,-7.4102778,403,2486
Killyran,Cavan,54.08,-7.6936111,252,1880
Killyvahan,Cavan,54.0180556,-7.0863889,518,2422
Killyvally,Cavan,53.9877778,-7.4422222,311,2425
Killyvanny,Cavan,54.0369444,-7.3530556,291,2420
Kilmacaran,Cavan,54.02778,-6.9566667,400,2891
Kilnacreevy,Cavan,53.9611111,-7.2122222,498,2425
