Blackrock,Dublin,53.3030556,-6.1830556
Dalkey,Dublin,53.2783333,-6.1002778
Dublin,Dublin,53.3330556,-6.2488889
Carrick on Shannon,Leitrim,53.9469444,-8.09
Mohill,Leitrim,53.9166667,-7.8666667
Drumshambo,Leitrim,54.05,-8.0333333
Castlebaldwin,Sligo,54.0791667,-8.3761111
Coolaney,Sligo,54.1780556,-8.5997222
Sligo,Sligo,54.2666667,-8.4833333
Strandhill,Sligo,54.2719444,-8.5933333
Tubbercurry,Sligo,54.05,-8.7333333
