Droichead an Bhuitléaraigh,Cavan,54.0427778,-7.3763889
Drumaloor,Cavan,54.0705556,-7.4061111
Drumalure,Cavan,54.0705556,-7.4061111
Drumane,Cavan,54.1072222,-7.6180556
Drumasladdy,Cavan,54.0891667,-7.4977778
Drumbar,Cavan,54.1788889,-7.6661111
Drumbrollisk,Cavan,54.0675,-7.1908333
Drumcask,Cavan,54.1725,-7.7347222
Drumcondra,Cavan,54.0208333,-7.0138889
Drumconnick,Cavan,53.9880556,-7.3866667
Drumcor,Cavan,54.0986111,-7.2905556
Drumcrow South,Cavan,53.9561111,-7.5783333
Drumgoon,Cavan,54.0369444,-7.0575
Drumgor,Cavan,53.9816667,-7.4380556
Drumhillagh,Cavan,54.0333333,-7.2266667
Drumlane,Cavan,54.0191667,-7.2294444
Drumliff,Cavan,54.0641667,-7.3305556
Drummany,Cavan,54.0275,-7.5888889
Drummullagh,Cavan,54.0530556,-7.5072222
Drumnatread,Cavan,54.069444,-7.1258333
Drumroe,Cavan,53.9469444,-7.5175
Drung,Cavan,54.035,-7.2386111
Drutamon,Cavan,53.9913889,-7.0794444
Dun An Ri,Cavan,53.9080556,-6.8055556
Dún An Ri,Cavan,53.9080556,-6.8055556
Duneena,Cavan,53.9430556,-7.0141667
Dunglave,Cavan,54.1611111,-7.7066667
Eighter,Cavan,53.8177778,-7.1347222
Erraran,Cavan,54.125,-7.6977778
Eylagh,Cavan,54.0447222,-7.6025
Fartrin,Cavan,54.0875,-7.5897222
Fartrin Cross Roads,Cavan,54.0797222,-7.595
Gannons Cross,Cavan,54.0994444,-7.365
Gartbrattan,Cavan,54.011111,-7.4388889
Glangavlen,Cavan,54.1947222,-7.89
Glangevlin,Cavan,54.1947222,-7.89
Glasleck,Cavan,53.9741667,-6.9266667
Glasstown,Cavan,54.0422222,-7.5133333
Glen,Cavan,54.1097222,-7.5013889
Glengavlen,Cavan,54.1947222,-7.89
Glengevlin,Cavan,54.1947222,-7.89
Gortahill,Cavan,54.2847222,-7.9644444
Gowlan,Cavan,54.2508333,-7.9002778
Gowlan,Cavan,54.1372222,-7.795
Greaghagibney,Cavan,53.9427778,-7.1302778
Greaghrahan,Cavan,54.0927778,-7.5375
Greenville,Cavan,54.0697222,-7.5844444
Gubaveeny,Cavan,54.2444444,-7.9705556
Gubrawnlly,Cavan,54.1611111,-7.7433333
Kilconny,Cavan,54.1019444,-7.4488889
Kilcrossduff,Cavan,53.965,-6.9038889
Kildorough,Cavan,53.8419444,-7.2125
Kildorragh,Cavan,53.8419444,-7.2125
Kill,Cavan,54.0330556,-7.1102778
Killashandra,Cavan,54.0166667,-7.5333333
Killeshandra,Cavan,54.0166667,-7.5333333
Killycluggin,Cavan,54.0933333,-7.6361111
Killyconnan,Cavan,53.9647222,-7.2688889
Killycreeny,Cavan,54.0638889,-7.1486111
Killykeen,Cavan,53.9972222,-7.4569444
Killylea,Cavan,54.1216667,-7.4102778
Killyran,Cavan,54.08,-7.6936111
Killyvahan,Cavan,54.0180556,-7.0863889
Killyvally,Cavan,53.9877778,-7.4422222
Killyvanny,Cavan,54.0369444,-7.3530556
Kilmacaran,Cavan,54.02778,-6.9566667
Kilnacreevy,Cavan,53.9611111,-7.2122222
Kilnacrew,Cavan,54.05,-7.0375
Kilnaleck,Cavan,53.8666667,-7.3166667
Kilsob,Cavan,54.1175,-7.6636111
Kinagha,Cavan,54.1013889,-7.3925
Kingscourt,Cavan,53.9080556,-6.8055556
Knappagh House,Cavan,54.0205556,-6.9644444
Knockbride,Cavan,53.9863889,-6.9955556
Lahard,Cavan,53.9833333,-7.5
Larah,Cavan,53.9933333,-7.2158333
Latsey,Cavan,53.9872222,-7.05
Lavey,Cavan,53.9697222,-7.2425
Leck,Cavan,54.2980556,-7.9352778
Ledonigan,Cavan,53.9430556,-7.075
Legnagrow,Cavan,54.2125,-7.9052778
Lisagoan,Cavan,53.9494444,-6.8730556
Lisduff,Cavan,53.9663889,-7.3833333
Lisduff,Cavan,53.7972222,-7.0294444
Lisnageer,Cavan,54.0716667,-7.1630556
Lisnamandra,Cavan,53.9677778,-7.4194444
Lisreagh,Cavan,53.9516667,-7.3325
Madabawn Bridge,Cavan,54.0297222,-7.0225
Magherintemple,Cavan,54.0955556,-7.2197222
McShanes Bridge,Cavan,54.066667,-7.2236111
McShanes Bridge,Cavan,54.066667,-7.2236111
Milltown,Cavan,54.065,-7.4775
Milltown,Cavan,53.9819444,-6.9130556
Moher,Cavan,54.1188889,-7.6311111
Moneensauran,Cavan,54.1725,-7.8783333
Money,Cavan,53.9819444,-6.9130556
Moneynure,Cavan,54.13,-7.7375
Mountain House,Cavan,53.98,-7.1086111
Mountain Lodge,Cavan,53.98,-7.1086111
Muinchille,Cavan,54.0725,-7.0819444
Mullagh,Cavan,53.8130556,-6.9513889
Mully,Cavan,54.2030556,-7.9022222
New Inn,Cavan,53.9019444,-7.1769444
Nolagh,Cavan,53.9486111,-6.9213889
Northlands,Cavan,53.9630556,-6.8588889
Oggal,Cavan,54.2597222,-7.9266667
Ouley,Cavan,54.0375,-7.315
Plush,Cavan,54.0594444,-7.3691667
Poles,Cavan,53.9877778,-7.2797222
Port,Cavan,54.0422222,-7.5133333
Pottlereagh,Cavan,54.0575,-7.0255556
Putiaghan,Cavan,54.0827778,-7.4425
Raheelan,Cavan,54.1208333,-7.4502778
Rakane,Cavan,54.0436111,-7.1080556
Raleagh,Cavan,54.0311111,-7.6263889
Redhills,Cavan,54.1,-7.3166667
Relagh,Cavan,53.8705556,-6.9597222
Relaghbeg,Cavan,53.8705556,-6.9597222
Rivory,Cavan,54.0488889,-7.4222222
Ryefield,Cavan,53.7880556,-7.0586111
Scarvy Bridge,Cavan,54.0508333,-7.0716667
Searcog,Cavan,54,-6.9
Searcóg,Cavan,54,-6.9
Shercock,Cavan,54,-6.9
Snakeel,Cavan,54.0283333,-7.5094444
Sraith an Domhain,Cavan,53.9833333,-7.2333333
Sralahan,Cavan,54.1297222,-7.6352778
Sraloaghan,Cavan,54.0916667,-7.7322222
Sruhanagh,Cavan,54.1888889,-7.9836111
Stradone,Cavan,53.9833333,-7.2333333
Stragelliff,Cavan,53.9966667,-7.2955556
Straheglin,Cavan,54.0911111,-7.435
Swanlinbar,Cavan,54.1947222,-7.7044444
Teeboy,Cavan,54.1147222,-7.7291667
Tirlahode Lower,Cavan,53.9461111,-7.1863889
Tober,Cavan,54.2166667,-8.019444
Toberlyan,Cavan,54.0744444,-7.6369444
Tonyduff,Cavan,53.9572222,-7.0588889
Treehog Cross Roads,Cavan,54.0791667,-7.2613889
Tullycoe,Cavan,54.091667,-7.2008333
Tullynamoyle,Cavan,54.2247222,-8.0219444
Tullyvin,Cavan,54.0483333,-7.1447222
Uragh,Cavan,54.1930556,-7.6972222
Virginia,Cavan,53.8338889,-7.0755556
Waterloo,Cavan,53.9333333,-7.1302778
Aghaglinny North,Clare,53.1391667,-9.2188889
Aglish,Clare,52.9844444,-9.025
Ahnagh Cross,Clare,52.8208333,-9.4166667
An Fhiacail,Clare,52.9247222,-8.6452778
An Geata Ban,Clare,52.9491667,-8.3713889
An Geata Bán,Clare,52.9491667,-8.3713889
An Leacht,Clare,52.9366667,-9.3452778
An Scairbh,Clare,52.8988889,-8.5091667
An Tulach,Clare,52.8647222,-8.7605556
Annacarriga,Clare,52.8511111,-8.5038889
Annaghneal Bridges,Clare,52.8933333,-8.6575
Annagore Bridge,Clare,52.7569444,-8.7761111
Ardsollus,Clare,52.7975,-8.8888889
Ardsollus Bridge,Clare,52.7975,-8.8888889
Ath Leathen,Clare,52.8047222,-8.6322222
Áth Leathen,Clare,52.8047222,-8.6322222
Athlunkard Bridge,Clare,52.6811111,-8.6097222
Aughaglanna Bridge,Clare,52.8277778,-9.1677778
Aughanloge Bridge,Clare,52.6477778,-9.3158333
Aughboy,Clare,52.7391667,-8.5402778
Aughinish,Clare,53.165,-9.0794444
Aughrim,Clare,53.0102778,-8.9444444
Badyke,Clare,52.8838889,-8.6011111
Baile Ui Bheachain,Clare,53.1180556,-9.1502778
Baile Uí Bheacháin,Clare,53.1180556,-9.1502778
Baile Ui Bheolain,Clare,52.9305556,-8.4258333
Baile Uí Bheoláin,Clare,52.9305556,-8.4258333
Ballagh,Clare,52.9611111,-9.2358333
Balleen Bridge,Clare,52.8119444,-9.1430556
Ballinruan,Clare,52.9530556,-8.8261111
Balliny,Clare,53.0861111,-9.2852778
Ballycarick Bridge,Clare,52.7363889,-9.0608333
Ballyconry,Clare,53.1216667,-9.1819444
Ballyea,Clare,52.9111111,-9.2138889
Ballyelly,Clare,53.0955556,-9.2705556
Ballygastell,Clare,53.0333333,-9.2475
Ballyhehan,Clare,53.1030556,-9.0880556
Ballylaan,Clare,52.9466667,-9.4583333
Ballylaun,Clare,52.9466667,-9.4583333
Ballymacanaun,Clare,52.9427778,-9.4516667
Ballynacally,Clare,52.7191667,-9.0658333
Ballynahown,Clare,53.0658333,-9.3283333
Ballynew Bridge,Clare,52.8616667,-9.3536111
Ballyteige,Clare,52.9597222,-8.9561111
Ballyvaghan,Clare,53.1180556,-9.1502778
Ballyvaughan,Clare,53.1180556,-9.1502778
Ballyvorney,Clare,52.7875,-8.4827778
Ballyvramneen,Clare,52.9188889,-9.2508333
Bargarriff,Clare,52.955,-8.3702778
Beaghfa,Clare,52.7730556,-9.0772222
Bealaclugga,Clare,53.1216667,-9.0683333
Bealaha,Clare,52.7169444,-9.5866667
Behagh,Clare,53.1366667,-9.0644444
Bell Harbour,Clare,53.1216667,-9.0683333
Bellia,Clare,52.6225,-9.7311111
Bellina,Clare,52.6225,-9.7311111
Bishopsquarter,Clare,53.1258333,-9.1194444
Blackweir Bridge,Clare,52.6669444,-9.5883333
Bodyke,Clare,52.8838889,-8.6011111
Bohaten,Clare,52.9580556,-8.4805556
Boirinn,Clare,53.1466667,-9.0755556
Boston,Clare,53.0325,-8.9283333
Brickhill Bridge,Clare,52.7066667,-8.7727778
Bridge of Ross,Clare,52.5858333,-9.8666667
Broadford,Clare,52.8047222,-8.6322222
Bunratty,Clare,52.6966667,-8.8155556
Bunratty East,Clare,52.7,-8.8166667
Bunratty West,Clare,52.6833333,-8.8166667
Burren,Clare,53.1466667,-9.0755556
Caher,Clare,52.9647222,-8.6452778
Caher Lower,Clare,53.1247222,-9.2486111
Caherbannagh,Clare,53.1169444,-9.2355556
Caherconnell,Clare,53.0411111,-9.1475
Caherlean,Clare,52.7383333,-9.5694444
Caherloughlin,Clare,53.1341667,-9.1080556
Cahermacnaghten,Clare,53.0494444,-9.1933333
Cahersherkin,Clare,52.9466667,-9.2294444
Callaghans Bridge,Clare,52.7491667,-8.6427778
Callaghans Bridge,Clare,52.7491667,-8.6427778
Cappagh,Clare,52.6333333,-9.5
Cappanavarnoge,Clare,52.6572222,-9.1544444
Capparoe,Clare,52.9172222,-8.5805556
Carhameere,Clare,52.7519444,-9.0641667
Carraig an Chabhaltaigh,Clare,52.6033333,-9.7080556
Carran,Clare,53.0380556,-9.0780556
Carranahingan Bridge,Clare,52.8763889,-9.0102778
Carrigaholt,Clare,52.6033333,-9.7080556
Carrowauff,Clare,52.9858333,-9.3516667
Castletown,Clare,53.0280556,-9.0686111
Cill an Disirt,Clare,52.6716667,-9.1063889
Cill an Dísirt,Clare,52.6716667,-9.1063889
Cill Bheathach,Clare,52.55,-9.8672222
Cill Chaoi,Clare,52.6791667,-9.6441667
Cill Chisin,Clare,52.8066667,-8.7458333
Cill Chisín,Clare,52.8066667,-8.7458333
Cill Dalua,Clare,52.8066667,-8.4436111
Cill Fhionnurach,Clare,52.9938889,-9.2136111
Cill Fhionnúrach,Clare,52.9938889,-9.2136111
Cill Inine Baoith,Clare,52.9719444,-9.0813889
Cill Iníne Baoith,Clare,52.9719444,-9.0813889
Cill Mhichil,Clare,52.7213889,-9.3186111
Cill Mhichíl,Clare,52.7213889,-9.3186111
Cill Mhicil,Clare,52.7213889,-9.3186111
Cill Mhicíl,Clare,52.7213889,-9.3186111
Cill Mhuire,Clare,52.7761111,-8.7827778
Cill Rois,Clare,52.6397222,-9.4833333
Clare,Clare,52.8155556,-8.9666667
Clarecastle,Clare,52.8155556,-8.9666667
Clareen Bridge,Clare,52.7744444,-9.0166667
Clareville,Clare,53.1166667,-9.1333333
Claureen Bridge,Clare,52.85,-8.9983333
Cleedagh Bridge,Clare,52.8588889,-9.4277778
Cloghannmore,Clare,52.8527778,-9.3372222
Cloghanulk,Clare,53.0886111,-9.3255556
Cloghaun Bridge,Clare,52.8947222,-8.6305556
Clonrush,Clare,52.9363889,-8.3541667
Cloomagro,Clare,52.9558333,-8.6855556
Clooncoorha,Clare,52.6813889,-9.4816667
Clooncorha,Clare,52.6813889,-9.4816667
Clooncullin Bridge,Clare,52.6991667,-9.3872222
Cloongaheen East,Clare,52.8086111,-8.5880556
Cloonlara,Clare,52.7222222,-8.5538889
Cloonmore,Clare,52.76,-9.0861111
